Shape,Size,Texture,Color,Chalkness,AspectRatio,Perimeter,HueMean,SaturationMean,ChalkinessRatio,GLCM_Contrast,GLCM_Homogeneity,EdgeDensity,Label
49.0,7190926.5,51.782398190735215,65.17850208333333,131.15968322753906,0.45,12884.285480976105,0.5826651219134993,0.14505999945744513,0.04428388888888274,30.79927251250695,0.28414877797251026,0.012662222222220463,RC 160
19.0,7192817.5,53.50301160898969,66.23388638888888,131.17184448242188,0.45,12258.790971636772,0.598178549382633,0.16375853081594946,0.05024541666665969,31.01961951083935,0.29093302009001115,0.014653749999997964,RC 160
22.0,7193139.5,55.60293588475283,69.60003287037037,131.2073211669922,0.45,11967.796024084091,0.5857300648147334,0.15957655870223478,0.05264902777777047,44.38456600889383,0.25854397153534203,0.023626388888885606,RC 160
69.0,7190800.0,54.8760215417663,67.65248976851852,131.18724060058594,0.45,13048.753516674042,0.5940395964505347,0.16617156846785885,0.04811305555554887,48.55100389105059,0.26114566714782406,0.026981805555551807,RC 160
20.0,7192960.5,51.88498208597762,67.2780236574074,131.16310119628906,0.45,12194.648836612701,0.5756569845678212,0.13374139539928698,0.05082861111110405,18.405191078376877,0.33150201629475956,0.0059393055555547304,RC 160
25.0,7192253.5,46.43432211106624,47.247675925925925,130.9596405029297,0.45,12361.928055047989,0.5901274961418933,0.21196811577688027,0.01013527777777637,25.72280739299611,0.3330006913849484,0.008654583333332131,RC 160
29.0,7192133.0,56.515081461199365,69.73525972222221,131.20440673828125,0.45,12322.548331022263,0.6064950169752245,0.15377364312063835,0.05555888888888117,38.04636200667037,0.2749895650156252,0.020039999999997216,RC 160
21.0,7192562.5,53.73855372963273,64.80784212962963,131.15707397460938,0.45,12229.820408940315,0.62674822453695,0.16629065538192134,0.04952847222221534,26.462589077265147,0.30622429515940114,0.012579444444442697,RC 160
108.0,7186184.5,44.37632692033407,41.08015092592593,130.34774780273438,0.45,14346.269444465637,0.5725760570986859,0.18358976779511338,0.00796416666666556,14.251237076153421,0.3874117422167865,0.002056666666666381,RC 160
24.0,7192305.5,45.679092273922805,51.66643259259259,131.00262451171875,0.45,12295.619399309158,0.5452521304011588,0.1405406602647374,0.02079874999999711,12.104973735408564,0.3795520809534444,0.0015636111111108938,RC 160
57.0,7190327.5,49.558235674154204,52.327063842592594,131.0250244140625,0.45,12976.452001452446,0.5977919128085589,0.20210377332896498,0.023455694444441184,29.22580100055587,0.3085938230851378,0.01041541666666522,RC 160
